serial_no,race,education,income,gender,age,relationship
0011331,66,09,000000,2,53,02
0011331,47,07,000000,1,18,13
0011348,47,13,100000,1,34,01
0011348,47,11,000000,2,38,02
0011348,47,09,000000,2,15,03
0011348,47,04,,2,14,03
0011348,47,02,,1,09,03
0011348,47,03,,2,09,03
0011348,47,02,,2,07,03
0011348,47,01,,2,04,03
0011348,47,01,,1,03,03
0011348,47,00,,2,02,03
0011476,47,09,004000,2,26,01
0011476,37,04,027000,1,31,02
0011476,47,02,,2,07,03
0011476,47,01,,1,04,03
0011476,47,00,,1,02,03
0011541,37,04,000000,1,56,01
0011558,47,16,087000,1,48,01
0011558,47,13,055000,2,46,02
0011558,47,05,001100,1,16,03
0011577,47,13,020000,2,25,01
0011577,47,13,036000,1,30,02
0011586,47,09,000000,1,57,01
0011586,47,09,000000,2,52,02
0011602,37,11,037000,1,40,01
0011602,28,08,000000,2,44,02
0011602,37,09,005000,2,21,03
0011602,37,02,,2,09,03
0011602,37,02,,2,08,03
0011602,37,09,000000,1,17,05
0011604,47,04,000000,2,86,01
0011627,37,13,000270,2,21,23
